id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,loudness_db,liveness,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,76,2020,0.03,-6.5,0.12,upbeat|summer|drive
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,68,2020,0.64,-13.0,0.08,study|focus|night
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,0.01,-5.0,0.15,adrenaline|gym|grit
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,64,2010,0.70,-15.5,0.06,rain|study|soft
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,0.01,-4.5,0.20,workout|hype|boost
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,57,2010,0.86,-18.0,0.04,sleep|space|calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,62,2000,0.42,-14.0,0.09,cafe|warm|evening
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,2010,0.08,-7.0,0.10,neon|night|retro
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020,0.68,-12.5,0.07,focus|coding|flow
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2020,0.04,-7.8,0.11,city|friends|weekend
11,Concrete Verse,North Cipher,hip-hop,focused,0.72,96,0.46,0.83,0.21,80,2020,0.00,-6.0,0.14,flow|focus|grit
12,Golden Hour Strings,Willow Thread,acoustic,calm,0.31,74,0.68,0.40,0.93,66,2010,0.36,-16.0,0.09,sunset|soft|unwind
13,Festival Circuit,Phase Bloom,edm,euphoric,0.95,130,0.79,0.91,0.04,88,2020,0.00,-4.2,0.22,festival|night|hype
14,Velvet Downtown,Blue Hall,jazz,moody,0.45,88,0.44,0.51,0.82,59,2000,0.39,-13.5,0.12,late-night|smoke|lounge
15,Tidal Echoes,Current Lane,indie,melancholic,0.52,102,0.39,0.62,0.48,63,2010,0.10,-9.4,0.11,rainy|reflective|coast
16,Quiet Pines,Northfield Duo,folk,calm,0.26,68,0.63,0.33,0.95,58,2000,0.28,-17.2,0.08,nature|campfire|soft
17,Glitch Sprint,Bit Pilot,electronic,focused,0.84,126,0.58,0.87,0.12,77,2020,0.03,-5.6,0.13,coding|speed|night
18,Runway Heat,Aero Club,edm,intense,0.92,134,0.70,0.89,0.06,83,2020,0.00,-4.0,0.19,club|hype|workout
19,Basement Cipher,Underground Unit,hip-hop,moody,0.67,92,0.36,0.79,0.18,73,2010,0.00,-6.7,0.16,grit|story|streets
20,Sunday Vinyl,Maple Season,acoustic,relaxed,0.29,76,0.72,0.37,0.90,61,2000,0.22,-15.0,0.08,morning|warm|home
21,Signal in Bloom,Echo Prism,synthpop,happy,0.79,122,0.86,0.84,0.20,78,2020,0.02,-6.1,0.11,dance|summer|bright
22,Cloudline Drift,Low Coast,ambient,calm,0.24,58,0.61,0.35,0.94,56,2010,0.88,-18.5,0.05,sleep|meditation|space
